Snail.ID,Site,Source.Container,Drilled.Binary,Total.Drilled,Partials.Binary,Count.Partials
FB10-10,FB,FB10,Drilled,3,1,2
FB10-2,FB,FB10,Not.Drilled,0,1,1
FB10-3,FB,FB10,Not.Drilled,0,1,1
FB10-4,FB,FB10,Not.Drilled,0,0,0
FB10-5,FB,FB10,Not.Drilled,0,0,0
FB10-6,FB,FB10,Not.Drilled,0,0,0
FB10-7,FB,FB10,Drilled,3,0,0
FB10-9,FB,FB10,Drilled,1,1,2
FB1-10,FB,FB1,Not.Drilled,0,0,0
FB1-1,FB,FB1,Drilled,2,1,2
FB1-2,FB,FB1,Not.Drilled,0,0,0
FB1-5,FB,FB1,Drilled,1,0,0
FB1-9,FB,FB1,Not.Drilled,0,1,1
FB2-2,FB,FB2,Not.Drilled,0,1,3
FB2-3,FB,FB2,Drilled,3,0,0
FB2-4,FB,FB2,Not.Drilled,0,0,0
FB2-5,FB,FB2,Not.Drilled,0,1,1
FB2-6,FB,FB2,Not.Drilled,0,1,1
FB2-8,FB,FB2,Not.Drilled,0,0,0
FB3-3,FB,FB3,Drilled,1,0,0
FB3-5,FB,FB3,Drilled,5,1,2
FB3-6,FB,FB3,Not.Drilled,0,1,1
FB3-7,FB,FB3,Not.Drilled,0,0,0
FB3-8,FB,FB3,Not.Drilled,0,1,2
FB4-2,FB,FB4,Not.Drilled,0,1,1
FB4-4,FB,FB4,Not.Drilled,0,1,1
FB4-5,FB,FB4,Not.Drilled,0,0,0
FB4-6,FB,FB4,Not.Drilled,0,1,1
FB4-9,FB,FB4,Not.Drilled,0,0,0
FB5-10,FB,FB5,Not.Drilled,0,0,0
FB5-1,FB,FB5,Drilled,1,1,2
FB5-2,FB,FB5,Not.Drilled,0,0,0
FB5-4,FB,FB5,Not.Drilled,0,0,0
FB5-6,FB,FB5,Drilled,2,1,1
FB5-8,FB,FB5,Drilled,2,1,1
FB5-9,FB,FB5,Not.Drilled,0,1,1
FB6-2,FB,FB6,Drilled,1,0,0
FB6-4,FB,FB6,Drilled,1,1,3
FB6-5,FB,FB6,Not.Drilled,0,0,0
FB6-6,FB,FB6,Not.Drilled,0,0,0
FB6-7,FB,FB6,Not.Drilled,0,0,0
FB6-8,FB,FB6,Not.Drilled,0,0,0
FB7-10,FB,FB7,Drilled,1,1,1
FB7-11,FB,FB7,Not.Drilled,0,1,1
FB7-4,FB,FB7,Drilled,1,1,1
FB7-7,FB,FB7,Not.Drilled,0,1,1
FB8-10,FB,FB8,Not.Drilled,0,1,1
FB8-1,FB,FB8,Not.Drilled,0,0,0
FB8-3,FB,FB8,Drilled,2,1,4
FB8-4,FB,FB8,Drilled,3,1,1
FB8-5,FB,FB8,Not.Drilled,0,0,0
FB8-6,FB,FB8,Not.Drilled,0,0,0
FB8-9,FB,FB8,Not.Drilled,0,0,0
FB9-10,FB,FB9,Not.Drilled,0,0,0
FB9-2,FB,FB9,Not.Drilled,0,1,1
FB9-3,FB,FB9,Drilled,1,1,2
FB9-4,FB,FB9,Not.Drilled,0,0,0
FB9-6,FB,FB9,Not.Drilled,0,1,2
FB9-8,FB,FB9,Not.Drilled,0,0,0
HC10-10,HC,HC10,Not.Drilled,0,1,1
HC10-11,HC,HC10,Drilled,1,0,0
HC10-2,HC,HC10,Drilled,3,1,3
HC10-3,HC,HC10,Drilled,3,1,2
HC10-4,HC,HC10,Not.Drilled,0,0,0
HC10-5,HC,HC10,Not.Drilled,0,1,1
HC10-6,HC,HC10,Drilled,2,1,3
HC10-7,HC,HC10,Not.Drilled,0,0,0
HC10-8,HC,HC10,Not.Drilled,0,1,1
HC1-10,HC,HC1,Drilled,5,1,1
HC1-2,HC,HC1,Drilled,2,1,6
HC1-3,HC,HC1,Not.Drilled,0,0,0
HC1-4,HC,HC1,Not.Drilled,0,1,1
HC1-5,HC,HC1,Not.Drilled,0,1,1
HC1-6,HC,HC1,Not.Drilled,0,0,0
HC1-8,HC,HC1,Drilled,1,0,0
HC1-9,HC,HC1,Not.Drilled,0,1,1
HC2-10,HC,HC2,Drilled,2,1,3
HC2-1,HC,HC2,Drilled,2,1,3
HC2-4,HC,HC2,Drilled,4,1,3
HC2-5,HC,HC2,Not.Drilled,0,1,2
HC2-6,HC,HC2,Not.Drilled,0,1,2
HC2-8,HC,HC2,Not.Drilled,0,0,0
HC3-10,HC,HC3,Drilled,2,1,2
HC3-2,HC,HC3,Not.Drilled,0,1,2
HC3-3,HC,HC3,Drilled,1,1,1
HC3-4,HC,HC3,Not.Drilled,0,0,0
HC3-5,HC,HC3,Not.Drilled,0,1,2
HC3-6,HC,HC3,Not.Drilled,0,0,0
HC3-8,HC,HC3,Drilled,1,1,1
HC4-10,HC,HC4,Drilled,2,1,1
HC4-2,HC,HC4,Not.Drilled,0,1,1
HC4-3,HC,HC4,Drilled,2,1,2
HC4-4,HC,HC4,Drilled,2,0,0
HC4-6,HC,HC4,Not.Drilled,0,1,1
HC4-8,HC,HC4,Not.Drilled,0,1,1
HC4-9,HC,HC4,Not.Drilled,0,1,1
HC5-10,HC,HC5,Not.Drilled,0,0,0
HC5-4,HC,HC5,Not.Drilled,0,1,1
HC5-5,HC,HC5,Not.Drilled,0,1,1
HC5-8,HC,HC5,Drilled,1,1,3
HC5-9,HC,HC5,Not.Drilled,0,0,0
HC6-10,HC,HC6,Not.Drilled,0,0,0
HC6-1,HC,HC6,Drilled,2,0,0
HC6-2,HC,HC6,Drilled,1,1,3
HC6-4,HC,HC6,Not.Drilled,0,0,0
HC6-5,HC,HC6,Drilled,2,1,2
HC6-8,HC,HC6,Drilled,4,1,2
HC7-10,HC,HC7,Drilled,3,1,3
HC7-1,HC,HC7,Drilled,1,1,1
HC7-2,HC,HC7,Not.Drilled,0,1,2
HC7-3,HC,HC7,Drilled,1,0,0
HC7-4,HC,HC7,Drilled,5,0,0
HC7-5,HC,HC7,Not.Drilled,0,1,1
HC7-6,HC,HC7,Drilled,2,1,1
HC7-8,HC,HC7,Not.Drilled,0,1,1
HC8-10,HC,HC8,Not.Drilled,0,0,0
HC8-2,HC,HC8,Not.Drilled,0,0,0
HC8-4,HC,HC8,Not.Drilled,0,0,0
HC8-5,HC,HC8,Drilled,1,1,4
HC8-7,HC,HC8,Not.Drilled,0,0,0
HC8-9,HC,HC8,Drilled,5,1,2
HC9-10,HC,HC9,Not.Drilled,0,0,0
HC9-2,HC,HC9,Drilled,1,0,0
HC9-4,HC,HC9,Drilled,2,1,2
HC9-5,HC,HC9,Drilled,1,1,3
HC9-6,HC,HC9,Drilled,3,1,2
HC9-7,HC,HC9,Drilled,4,1,2
MP10-1,MP,MP10,Not.Drilled,0,1,1
MP10-4,MP,MP10,Not.Drilled,0,0,0
MP10-5,MP,MP10,Not.Drilled,0,0,0
MP10-7,MP,MP10,Drilled,1,1,3
MP10-8,MP,MP10,Not.Drilled,0,0,0
MP1-2,MP,MP1,Drilled,4,1,2
MP1-3,MP,MP1,Not.Drilled,0,0,0
MP1-4,MP,MP1,Drilled,1,0,0
MP1-6,MP,MP1,Not.Drilled,0,1,1
MP1-8,MP,MP1,Drilled,4,1,2
MP1-9,MP,MP1,Drilled,4,0,0
MP2-10,MP,MP2,Not.Drilled,0,1,1
MP2-2,MP,MP2,Drilled,2,1,2
MP2-4,MP,MP2,Not.Drilled,0,0,0
MP2-5,MP,MP2,Not.Drilled,0,1,2
MP2-8,MP,MP2,Drilled,1,0,0
MP2-9,MP,MP2,Not.Drilled,0,0,0
MP3-10,MP,MP,Not.Drilled,0,0,0
MP3-1,MP,MP3,Drilled,1,1,1
MP3-4,MP,MP3,Not.Drilled,0,0,0
MP3-5,MP,MP3,Not.Drilled,0,1,1
