start	end
1	50
51	100
101	150
151	200
201	250
251	300
301	350
351	400
401	450
451	500
501	550
551	600
601	650
651	700
701	750
751	800
801	850
851	900
901	950
951	1000
1001	1050
1051	1100
1101	1150
1151	1200
1201	1250
1251	1300
1301	1350
1351	1400
1401	1450
1451	1500
1501	1550
1551	1600
1601	1650
1651	1700
1701	1750
1751	1800
1801	1850
1851	1900
1901	1950
1951	2000
2001	2050
2051	2100
2101	2150
2151	2200
2201	2250
2251	2300
2301	2350
2351	2400
2401	2450
2451	2500
2501	2550
2551	2600
2601	2650
2651	2700
2701	2750
2751	2800
2801	2850
2851	2900
2901	2950
2951	3000
3001	3050
3051	3100
3101	3150
3151	3200
3201	3250
3251	3300
3301	3350
3351	3400
3401	3450
3451	3500
3501	3550
3551	3600
3601	3650
3651	3700
3701	3750
3751	3800
3801	3850
3851	3900
3901	3950
3951	4000
4001	4050
4051	4100
4101	4150
4151	4200
4201	4250
4251	4300
4301	4350
4351	4400
4401	4450
4451	4500
4501	4550
4551	4600
4601	4650
4651	4700
4701	4750
4751	4800
4801	4850
4851	4900
4901	4950
4951	5000
5001	5050
5051	5100
5101	5150
5151	5200
5201	5250
5251	5300
5301	5350
5351	5400
5401	5450
5451	5500
5501	5550
5551	5600
5601	5650
5651	5700
5701	5750
5751	5800
5801	5850
5851	5900
5901	5950
5951	6000
6001	6050
6051	6100
6101	6150
6151	6200
6201	6250
6251	6300
6301	6350
6351	6400
6401	6450
6451	6500
6501	6550
6551	6600
6601	6650
6651	6700
6701	6750
6751	6800
6801	6850
6851	6900
6901	6950
6951	7000
7001	7050
7051	7100
7101	7150
7151	7200
7201	7250
7251	7300
7301	7350
7351	7400
7401	7450
7451	7500
7501	7550
7551	7600
7601	7650
7651	7700
7701	7750
7751	7800
7801	7850
7851	7900
7901	7950
7951	8000
8001	8050
8051	8100
8101	8150
8151	8200
8201	8250
8251	8300
8301	8350
8351	8400
8401	8450
8451	8500
8501	8550
8551	8600
8601	8650
8651	8700
8701	8750
8751	8800
8801	8850
8851	8900
8901	8950
8951	9000
9001	9050
9051	9100
9101	9150
9151	9200
9201	9250
9251	9300
9301	9350
9351	9400
9401	9450
9451	9500
9501	9550
9551	9600
9601	9650
9651	9700
9701	9750
9751	9800
9801	9850
9851	9900
9901	9950
9951	10000
10001	10050
10051	10100
10101	10150
10151	10200
10201	10250
10251	10300
10301	10350
10351	10400
10401	10450
10451	10500
10501	10550
10551	10600
10601	10650
10651	10700
10701	10750
10751	10800
10801	10850
10851	10900
10901	10950
10951	11000
11001	11050
11051	11100
11101	11150
11151	11200
11201	11250
11251	11300
11301	11350
11351	11400
11401	11450
11451	11500
11501	11550
11551	11600
11601	11650
11651	11700
11701	11750
11751	11800
11801	11850
11851	11900
11901	11950
11951	12000
12001	12050
12051	12100
12101	12150
12151	12200
12201	12250
12251	12300
12301	12350
12351	12400
12401	12450
12451	12500
12501	12550
12551	12600
12601	12650
12651	12700
12701	12750
12751	12800
12801	12850
12851	12900
12901	12950
12951	13000
13001	13050
13051	13100
13101	13150
13151	13200
13201	13250
13251	13300
13301	13350
13351	13400
13401	13450
13451	13500
13501	13550
13551	13600
13601	13650
13651	13700
13701	13750
13751	13800
13801	13850
13851	13900
13901	13950
13951	14000
14001	14050
14051	14100
14101	14150
14151	14200
14201	14250
14251	14300
14301	14350
14351	14400
14401	14450
14451	14500
14501	14550
14551	14600
14601	14650
14651	14700
14701	14750
14751	14800
14801	14850
14851	14900
14901	14950
14951	15000
15001	15050
15051	15100
15101	15150
15151	15200
15201	15250
15251	15300
15301	15350
15351	15400
15401	15450
15451	15500
15501	15550
15551	15600
15601	15650
15651	15700
15701	15750
15751	15800
15801	15850
15851	15900
15901	15950
15951	16000
16001	16050
16051	16100
16101	16150
16151	16200
16201	16250
16251	16300
16301	16350
16351	16400
16401	16450
16451	16500
16501	16550
16551	16600
16601	16650
16651	16700
16701	16750
16751	16800
16801	16850
16851	16900
16901	16950
16951	17000
17001	17050
17051	17100
17101	17150
17151	17200
17201	17250
17251	17300
17301	17350
17351	17400
17401	17450
17451	17500
17501	17550
17551	17600
17601	17650
17651	17700
17701	17750
17751	17800
17801	17850
17851	17900
17901	17950
17951	18000
18001	18050
18051	18100
18101	18150
18151	18200
18201	18250
18251	18300
18301	18350
18351	18400
18401	18450
18451	18500
18501	18550
18551	18600
18601	18650
18651	18700
18701	18750
18751	18800
18801	18850
18851	18900
18901	18950
18951	19000
19001	19050
19051	19100
19101	19150
19151	19200
19201	19250
19251	19300
19301	19350
19351	19400
19401	19450
19451	19500
19501	19550
19551	19600
19601	19650
19651	19700
19701	19750
19751	19800
19801	19850
19851	19900
19901	19950
19951	20000
20001	20050
20051	20100
20101	20150
20151	20200
20201	20250
20251	20300
20301	20350
20351	20400
20401	20450
20451	20500
20501	20550
20551	20600
20601	20650
20651	20700
20701	20750
20751	20800
20801	20850
20851	20900
20901	20950
20951	21000
21001	21050
21051	21100
21101	21150
21151	21200
21201	21250
21251	21300
21301	21350
21351	21400
21401	21450
21451	21500
21501	21550
21551	21600
21601	21650
21651	21700
21701	21750
21751	21800
21801	21850
21851	21900
21901	21950
21951	22000
22001	22050
22051	22100
22101	22150
22151	22200
22201	22250
22251	22300
22301	22350
22351	22400
22401	22450
22451	22500
22501	22550
22551	22600
22601	22650
22651	22700
22701	22750
22751	22800
22801	22850
22851	22900
22901	22950
22951	23000
23001	23050
23051	23100
23101	23150
23151	23200
23201	23250
23251	23300
23301	23350
23351	23400
23401	23450
23451	23500
23501	23550
23551	23600
23601	23650
23651	23700
23701	23750
23751	23800
23801	23850
23851	23900
23901	23950
23951	24000
24001	24050
24051	24100
24101	24150
24151	24200
24201	24250
24251	24300
24301	24350
24351	24400
24401	24450
24451	24500
24501	24550
24551	24600
24601	24650
24651	24700
24701	24750
24751	24800
24801	24850
24851	24900
24901	24950
24951	25000
25001	25050
25051	25100
25101	25150
25151	25200
25201	25250
25251	25300
25301	25350
25351	25400
25401	25450
25451	25500
25501	25550
25551	25600
25601	25650
25651	25700
25701	25750
25751	25800
25801	25850
25851	25900
25901	25950
25951	26000
26001	26050
26051	26100
26101	26150
26151	26200
26201	26250
26251	26300
26301	26350
26351	26400
26401	26450
26451	26500
26501	26550
26551	26600
26601	26650
26651	26700
26701	26750
26751	26800
26801	26850
26851	26900
26901	26950
26951	27000
27001	27050
27051	27100
27101	27150
27151	27200
27201	27250
27251	27300
27301	27350
27351	27400
27401	27450
27451	27500
27501	27550
27551	27600
27601	27650
27651	27700
27701	27750
27751	27800
27801	27850
27851	27900
27901	27950
27951	28000
28001	28050
28051	28100
28101	28150
28151	28200
28201	28250
28251	28300
28301	28350
28351	28400
28401	28450
28451	28500
28501	28550
28551	28600
28601	28650
28651	28700
28701	28750
28751	28800
28801	28850
28851	28900
28901	28950
28951	29000
29001	29050
29051	29100
29101	29150
29151	29200
29201	29250
29251	29300
29301	29350
29351	29400
29401	29450
29451	29500
29501	29550
29551	29600
29601	29650
29651	29700
29701	29750
29751	29800
29801	29850
29851	29900
29901	29950
29951	30000
30001	30050
30051	30100
30101	30150
30151	30200
30201	30250
30251	30300
30301	30350
30351	30400
30401	30450
30451	30500
30501	30550
30551	30600
30601	30650
30651	30700
30701	30750
30751	30800
30801	30850
30851	30900
30901	30950
30951	31000
31001	31050
31051	31100
31101	31150
31151	31200
31201	31250
31251	31300
31301	31350
31351	31400
31401	31450
31451	31500
31501	31550
31551	31600
31601	31650
31651	31700
31701	31750
31751	31800
31801	31850
31851	31900
31901	31950
31951	32000
32001	32050
32051	32100
32101	32150
32151	32200
32201	32250
32251	32300
32301	32350
32351	32400
32401	32450
32451	32500
32501	32550
32551	32600
32601	32650
32651	32700
32701	32750
32751	32800
32801	32850
32851	32900
32901	32950
32951	33000
33001	33050
33051	33100
33101	33150
33151	33200
33201	33250
33251	33300
33301	33350
33351	33400
33401	33450
33451	33500
33501	33550
33551	33600
33601	33650
33651	33700
33701	33750
33751	33800
33801	33850
33851	33900
33901	33950
33951	34000
34001	34050
34051	34100
34101	34150
34151	34200
34201	34250
34251	34300
34301	34350
34351	34400
34401	34450
34451	34500
34501	34550
34551	34600
34601	34650
34651	34700
34701	34750
34751	34800
34801	34850
34851	34900
34901	34950
34951	35000
35001	35050
35051	35100
35101	35150
35151	35200
35201	35250
35251	35300
35301	35350
35351	35400
35401	35450
35451	35500
35501	35550
35551	35600
35601	35650
35651	35700
35701	35750
35751	35800
35801	35850
35851	35900
35901	35950
35951	36000
36001	36050
36051	36100
36101	36150
36151	36200
36201	36250
36251	36300
36301	36350
36351	36400
36401	36450
36451	36500
36501	36550
36551	36600
36601	36650
36651	36700
36701	36750
36751	36800
36801	36850
36851	36900
36901	36950
36951	37000
37001	37050
37051	37100
37101	37150
37151	37200
37201	37250
37251	37300
37301	37350
37351	37400
37401	37450
37451	37500
37501	37550
37551	37600
37601	37650
37651	37700
37701	37750
37751	37800
37801	37850
37851	37900
37901	37950
37951	38000
38001	38050
38051	38100
38101	38150
38151	38200
38201	38250
38251	38300
38301	38350
38351	38400
38401	38450
38451	38500
38501	38550
38551	38600
38601	38650
38651	38700
38701	38750
38751	38800
38801	38850
38851	38900
38901	38950
38951	39000
39001	39050
39051	39100
39101	39150
39151	39200
39201	39250
39251	39300
39301	39350
39351	39400
39401	39450
39451	39500
39501	39550
39551	39600
39601	39650
39651	39700
39701	39750
39751	39800
39801	39850
39851	39900
39901	39950
39951	40000
40001	40050
40051	40100
40101	40150
40151	40200
40201	40250
40251	40300
40301	40350
40351	40400
40401	40450
40451	40500
40501	40550
40551	40600
40601	40650
40651	40700
40701	40750
40751	40800
40801	40850
40851	40900
40901	40950
40951	41000
41001	41050
41051	41100
41101	41150
41151	41200
41201	41250
41251	41300
41301	41350
41351	41400
41401	41450
41451	41500
41501	41550
41551	41600
41601	41650
41651	41700
41701	41750
41751	41800
41801	41850
41851	41900
41901	41950
41951	42000
42001	42050
42051	42100
42101	42150
42151	42200
42201	42250
42251	42300
42301	42350
42351	42400
42401	42450
42451	42500
42501	42550
42551	42600
42601	42650
42651	42700
42701	42750
42751	42800
42801	42850
42851	42900
42901	42950
42951	43000
43001	43050
43051	43100
43101	43150
43151	43200
43201	43250
43251	43300
43301	43350
43351	43400
43401	43450
43451	43500
43501	43550
43551	43600
43601	43650
43651	43700
43701	43750
43751	43800
43801	43850
43851	43900
43901	43950
43951	44000
44001	44050
44051	44100
44101	44150
44151	44200
44201	44250
44251	44300
44301	44350
44351	44400
44401	44450
44451	44500
44501	44550
44551	44600
44601	44650
44651	44700
44701	44750
44751	44800
44801	44850
44851	44900
44901	44950
44951	45000
45001	45050
45051	45100
45101	45150
45151	45200
45201	45250
45251	45300
45301	45350
45351	45400
45401	45450
45451	45500
45501	45550
45551	45600
45601	45650
45651	45700
45701	45750
45751	45800
45801	45850
45851	45900
45901	45950
45951	46000
46001	46050
46051	46100
46101	46150
46151	46200
46201	46250
46251	46300
46301	46350
46351	46400
46401	46450
46451	46500
46501	46550
46551	46600
46601	46650
46651	46700
46701	46750
46751	46800
46801	46850
46851	46900
46901	46950
46951	47000
47001	47050
47051	47100
47101	47150
47151	47200
47201	47250
47251	47300
47301	47350
47351	47400
47401	47450
47451	47500
47501	47550
47551	47600
47601	47650
47651	47700
47701	47750
47751	47800
47801	47850
47851	47900
47901	47950
47951	48000
48001	48050
48051	48100
48101	48150
48151	48200
48201	48250
48251	48300
48301	48350
48351	48400
48401	48450
48451	48500
48501	48550
48551	48600
48601	48650
48651	48700
48701	48750
48751	48800
48801	48850
48851	48900
48901	48950
48951	49000
49001	49050
49051	49100
49101	49150
49151	49200
49201	49250
49251	49300
49301	49350
49351	49400
49401	49450
49451	49500
49501	49550
49551	49600
49601	49650
49651	49700
49701	49750
49751	49800
49801	49850
49851	49900
49901	49950
49951	50000
50001	50050
50051	50100
50101	50150
50151	50200
50201	50250
50251	50300
50301	50350
50351	50400
50401	50450
50451	50500
50501	50550
50551	50600
50601	50650
50651	50700
50701	50750
50751	50800
50801	50850
50851	50900
50901	50950
50951	51000
51001	51050
51051	51100
51101	51150
51151	51200
51201	51250
51251	51300
51301	51350
51351	51400
51401	51450
51451	51500
51501	51550
51551	51600
51601	51650
51651	51700
51701	51750
51751	51800
51801	51850
51851	51900
51901	51950
51951	52000
52001	52050
52051	52100
52101	52150
52151	52200
52201	52250
52251	52300
52301	52350
52351	52400
52401	52450
52451	52500
52501	52550
52551	52600
52601	52650
52651	52700
52701	52750
52751	52800
52801	52850
52851	52900
52901	52950
52951	53000
53001	53050
53051	53100
53101	53150
53151	53200
53201	53250
53251	53300
53301	53350
53351	53400
53401	53450
53451	53500
53501	53550
53551	53600
53601	53650
53651	53700
53701	53750
53751	53800
53801	53850
53851	53900
53901	53950
53951	54000
54001	54050
54051	54100
54101	54150
54151	54200
54201	54250
54251	54300
54301	54350
54351	54400
54401	54450
54451	54500
54501	54550
54551	54600
54601	54650
54651	54700
54701	54750
54751	54800
54801	54850
54851	54900
54901	54950
54951	55000
55001	55050
55051	55100
55101	55150
55151	55200
55201	55250
55251	55300
55301	55350
55351	55400
55401	55450
55451	55500
55501	55550
55551	55600
55601	55650
55651	55700
55701	55750
55751	55800
55801	55850
55851	55900
55901	55950
55951	56000
56001	56050
56051	56100
56101	56150
56151	56200
56201	56250
56251	56300
56301	56350
56351	56400
56401	56450
56451	56500
56501	56550
56551	56600
56601	56650
56651	56700
56701	56750
56751	56800
56801	56850
56851	56900
56901	56950
56951	57000
57001	57050
57051	57100
57101	57150
57151	57200
57201	57250
57251	57300
57301	57350
57351	57400
57401	57450
57451	57500
57501	57550
57551	57600
57601	57650
57651	57700
57701	57750
57751	57800
57801	57850
57851	57900
57901	57950
57951	58000
58001	58050
58051	58100
58101	58150
58151	58200
58201	58250
58251	58300
58301	58350
58351	58400
58401	58450
58451	58500
58501	58550
58551	58600
58601	58650
58651	58700
58701	58750
58751	58800
58801	58850
58851	58900
58901	58950
58951	59000
59001	59050
59051	59100
59101	59150
59151	59200
59201	59250
59251	59300
59301	59350
59351	59400
59401	59450
59451	59500
59501	59550
59551	59600
59601	59650
59651	59700
59701	59750
59751	59800
59801	59850
59851	59900
59901	59950
59951	60000
60001	60050
60051	60100
60101	60150
60151	60200
60201	60250
60251	60300
60301	60350
60351	60400
60401	60450
60451	60500
60501	60550
60551	60600
60601	60650
60651	60700
60701	60750
60751	60800
60801	60850
60851	60900
60901	60950
60951	61000
61001	61050
61051	61100
61101	61150
61151	61200
61201	61250
61251	61300
61301	61350
61351	61400
61401	61450
61451	61500
61501	61550
61551	61600
61601	61650
61651	61700
61701	61750
61751	61800
61801	61850
61851	61900
61901	61950
61951	62000
62001	62050
62051	62100
62101	62150
62151	62200
62201	62250
62251	62300
62301	62350
62351	62400
62401	62450
62451	62500
62501	62550
62551	62600
62601	62650
62651	62700
62701	62750
62751	62800
62801	62850
62851	62900
62901	62950
62951	63000
63001	63050
63051	63100
63101	63150
63151	63200
63201	63250
63251	63300
63301	63350
63351	63400
63401	63450
63451	63500
63501	63550
63551	63600
63601	63650
63651	63700
63701	63750
63751	63800
63801	63850
63851	63900
63901	63950
63951	64000
64001	64050
64051	64100
64101	64150
64151	64200
64201	64250
64251	64300
64301	64350
64351	64400
64401	64450
64451	64500
64501	64550
64551	64600
64601	64650
64651	64700
64701	64750
64751	64800
64801	64850
64851	64900
64901	64950
64951	65000
65001	65050
65051	65100
65101	65150
65151	65200
65201	65250
65251	65300
65301	65350
65351	65400
65401	65450
65451	65500
65501	65550
65551	65600
65601	65650
65651	65700
65701	65750
65751	65800
65801	65850
65851	65900
65901	65950
