sampleId	species_name	species_initial	Experimental_condition	type	Line_origin	Research_Team	Set	latitude	longitude	altitude	continent	country_code	state_province_code	city	locale	collection_day	collection_month	collection_year	date	bio_rep	tech_rep	fruit_type	FR	RR	PC1	PC2	PC3	PC4
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_10.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	0.180649801533783	0.00820415533081623	0.520503345354166	-0.409972571529347
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_11.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	-0.0120968581812523	0.405054872307406	0.448197841262577	0.687289989427789
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_1.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1_2.fq.gz	-0.641033353571898	-0.145133546417153	0.118067033029677	-0.0109142605760288
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_14.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_14	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_2.fq.gz	0.0647851661837046	-0.127406601305246	-0.119556361769624	0.146746511832678
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_2.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_2/DP_B_O_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_2/DP_B_O_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	0.0307569197483701	0.450234725468001	0.258003810593933	-0.494620432897019
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_3.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	-0.183957170436004	0.321707070640247	-0.329603027790269	-0.0878775966947755
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_4.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	-0.00523273688568475	0.241003080020829	-0.423645435410112	0.021477290359715
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_5.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	-0.685179205405599	-0.30866013909641	0.0523768367331549	-0.0463601050467917
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_6.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_2.fq.gz	-0.000721691061092942	0.196649581962087	-0.193432774202486	0.0783034950414952
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_7.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_2.fq.gz	0.0792529142160597	0.205046753335015	-0.214357342964372	-0.02408370063559
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_8.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_8	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_2.fq.gz	-0.000820070792703122	0.179429318738316	-0.0985904957060713	0.0627160655121347
D_bas.wild.US-HI-Tom.27_1_2023.w.DP_B_T_1.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_B_T_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_1/DP_B_M_T_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_1/DP_B_M_T_1_2.fq.gz	0.125083087230248	-0.102408094025374	0.124379817412317	0.142591729113743
D_bas.wild.US-HI-Tom.27_1_2023.w.DP_B_T_2.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_B_T_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_2/DP_B_M_T_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_2/DP_B_M_T_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz	0.22515131910378	-0.32191919016888	-0.0347035316150785	0.131545237808318
D_bas.wild.US-HI-Tom.27_1_2023.w.DP_B_T_3.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_B_T_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_3/DP_B_M_T_3_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_3/DP_B_M_T_3_2.fq.gz	0.15812210196613	-0.144748168361259	-0.0760084236292937	-0.121302455020893
