sampleId	species_name	species_initial	Experimental_condition	type	Line_origin	Research_Team	Set	latitude	longitude	altitude	continent	country_code	state_province_code	city	locale	collection_day	collection_month	collection_year	date	bio_rep	tech_rep	fruit_type	FR	RR
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_10.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_11.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_1.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_14.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_14	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_2.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_2/DP_B_O_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_2/DP_B_O_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_3.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_4.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_5.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_6.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_7.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Ola'a Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_2.fq.gz
